Composite Code (TDS_FC_Code),Composite Description (TDS_FC_Label),Description of the content included in composite
Dairy,,
AA01,Milk_whole,Includes goat milk/Excludes dry milk
AA02,Milk_2%,Excludes dry milk
AA03,Milk_1%,Excludes dry milk
AA04,Milk_skim,Includes 0.5% skim milk/ Excludes dry milk
AA05,Evaporated milk_canned,Includes all types of evaporated milks
AA06,Cream,Includes all creams including whipped cream. Excludes sour cream and cream substitutes (whitener)
AA07,Ice cream,"Includes all ice cream (soft, regular and light), ice cream novelties (sandwiches, cones, bars/sticks) and ice cream cakes.
Sundae recipes rolled-down to ingredient level"
AA08,Yogurt,"Includes all types of yogurts (goat, soy, baby, beverage, and Greek type yogurts). Also includes frozen yogurts and yogurt-based dips, ex: tzatziki
Excludes kefir"
AA09,Cheese,"Includes all cheeses not included in following composites, including soft cheeses like goat cheese and ricotta. Excludes cream cheese"
AA10,Cheese_cottage,Includes all cottage cheese
AA11,Cheese_processed,"Includes all processed cheeses (slices, loafs and spreads)"
AA12,Butter,"Includes salted and unsalted butter, light and regular"
AA13,Chocolate milk_1%,Includes all fat content chocolate milk
AA14,Buttermilk 1%,Includes all fat content buttermilk
Meats,,
BB01,Beef_steak,Includes all cuts of beef steaks 
BB02,Beef_roast,Includes all cuts of beef roasts
BB03,Beef_ground,"Includes all ground beef (extra lean, lean, medium, and regular)"
BB04,Pork_fresh,"Includes all cuts of fresh pork (chops, roast, ribs, ground)"
BB05,Pork_cured,"Includes cured ham, bacon, and breakfast strips"
BB06,Veal_cutlets,"
Includes all cuts of veal"
BB07,Lamb,Includes all cuts of lamb
BB08,Luncheon meats_cold cuts,Includes all types of pork and beef luncheon meats. Excludes poultry based luncheon meats.
BB09,Luncheon meats_canned,Includes canned ham and corned beef
BB10,Organ meats,"Includes all types of beef, veal, lamb and pork organs (heart, kidney, liver). Excludes poultry organs"
BB11,Wieners & sausages,Includes all types of pork and beef wieners and sausages. Excludes poultry wieners and sausages
Eggs & Poultry,,
