Groupe_de_population,Catégorisation_population,population,EAT_AC_Code,EAT_AC_étiquette,NombreRépondants,PourcentageConsommateurs,Moy_grammes_par_kilogramme_de_poids_corporel_par_jour ,Moy_indicateur,Moy_ET,Moy_LCI,Moy_LCS,Moy_CV,C50,C50_ indicateur,C50_ET,C50_LCI,C50_LCS,C50_CV,C90,C90_ indicateur,C90_ET,C90_LCI,C90_LCS,C90_CV,C95,C95_ indicateur,C95_ET,C95_LCI,C95_LCS,C95_CV
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA01,Lait entier,3161,24.9,3.17,,0.31,2.56,3.79,9.78,0,,0.07,0,0.13,0,7.7,,1.06,5.61,9.79,13.77,19.92,,3.21,13.62,26.23,16.11
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA02,Lait 2 %,3161,48.3,4.56,,0.26,4.05,5.07,5.7,0,,0.05,0,0.09,0,15.49,,0.71,14.1,16.88,4.58,22.76,,1.34,20.12,25.4,5.89
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA03,Lait 1 %,3161,22.5,1.71,,0.23,1.25,2.18,13.45,0,,0.15,0,0.29,0,5.24,,0.81,3.65,6.83,15.46,10.83,,1.61,7.66,14,14.87
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA04,Lait écrémé,3161,13.4,0.42,E,0.1,0.22,0.61,23.81,0,,0.08,0,0.16,0,,F,,,,85.71,,F,,,,53.95
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA05,Lait évaporé en conserve,3161,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA06,Crème,3161,5.8,0.04,E,0.01,0.03,0.05,25,0,,0.58,0,1.15,0,0,,0.08,0,0.15,0,,F,,,,40
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA07,Crème glacée,3161,16.3,0.6,,0.05,0.5,0.7,8.33,0,,0.94,0,1.85,0,2.11,,0.25,1.62,2.6,11.85,4.29,,0.4,3.5,5.08,9.32
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA08,Yogourt,3161,30.8,1.67,,0.13,1.42,1.93,7.78,0,,0.71,0,1.39,0,5.63,,0.38,4.88,6.38,6.75,8.35,,0.69,7,9.71,8.26
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA09,Fromage,3161,32.2,0.42,,0.03,0.36,0.48,7.14,0,,0.08,0,0.16,0,1.29,,0.12,1.06,1.52,9.3,2.43,,0.23,1.98,2.88,9.47
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA10,Fromage cottage,3161,1.5,0.05,E,0.01,0.02,0.07,20,0,,25.13,0,49.37,0,0,,11.65,0,22.89,0,0,,3.78,0,7.43,0
