Code de composite (EAT_AC_Code),Description du composite alimentaire (EAT_AC_étiquette),La description des aliments inclus dans la mise en correspondance des composites
Produits laitiers,,
AA01,Lait entier,Comprends le lait de chèvre/Ne comprends pas le lait en poudre
AA02,Lait 2 %,Ne comprends pas le lait en poudre
AA03,Lait 1 %,Ne comprends pas le lait en poudre
AA04,Lait écrémé,"Comprends le lait écrémé 0,5 %/Ne comprends pas le lait en poudre"
AA05,Lait évaporé en conserve,Comprends tous les types de laits évaporés
AA06,Crème,Comprends tous les types de crèmes incluant la crème fouettée. Ne comprends pas la crème sure et les substituts de crème (colorant)
AA07,Crème glacée,"Comprends tous les types de crèmes glacées (molle, régulière et légère), les fantaisies de crème glacée (sandwich, cornet, barre/bâton) et les gâteaux à la crème glacée."
,,Recettes de coupe glacée décomposée au niveau des ingrédients.
AA08,Yogourt,"Comprends tous les types de yogourts (de lait de chèvre, de lait de soja, pour bébé, à boire et les yogourts de type grec). Comprends aussi les yogourts glacés et les trempettes à base de yogourt, ex : tzatziki."
,,Ne comprends pas le kéfir.
AA09,Fromage,Comprends tous les fromages qui ne sont pas inclus dans les composites suivants et incluant les fromages à pâte molle comme le fromage de chèvre et la ricotta. Ne comprends pas le fromage à la crème
AA10,Fromage cottage,Comprends tous les fromages cottage
AA11,Fromage fondu,"Comprends tous les fromages fondus (en tranche, en pain, à tartiner)"
AA12,Beurre,"Comprends le beurre salé et non salé, léger et ordinaire"
AA13,Lait au chocolat 1 %,Comprends toutes les teneurs en matière grasse du lait au chocolat
AA14,Babeurre 1 %,Comprends toutes les teneurs en matière grasse du babeurre
Viandes,,
BB01,Bifteck,Comprends toutes les coupes de biftecks 
BB02,Rôti de bœuf,Comprends toutes les coupes de rôtis de bœuf
BB03,Bœuf haché,"Comprends tous les types de bœuf haché (extra-maigre, maigre, mi-maigre et régulier)"
BB04,Porc frais,"Comprends tous les types de porc frais (côtelettes, rôti, côtes, haché)"
BB05,Porc salé,"Comprends le jambon, le bacon et les tranches pour le déjeuner"
BB06,Escalopes de veau,
,,Comprends toutes les coupes de veau
BB07,Agneau,Comprends toutes les coupes d’agneau
BB08,Viandes à sandwich_viandes froides,Comprends tous les types de viandes à sandwich de porc et de bœuf. Ne comprends pas les viandes à sandwich à base de volaille.
BB09,Viandes froides en conserve,Comprends le jambon en conserve et le bœuf salé en conserve
BB10,Abats ,"Comprends tous les types d’abats, de bœuf, de veau, d’agneau et de porc (cœur, reins, foie). Ne comprends pas les abats de volaille"
BB11,Saucisses fraîches et fumées,Comprends tous les types de saucisses fraîches et fumées et saucisses de Francfort à base de porc et de bœuf. Ne comprends pas les saucisses à base de volaille.
Œufs et volaille,,
CC01,Œufs,"Comprends tous les œufs de volaille (poulet, canard, oie, dinde), blanc d’œuf et jaune d’œuf. Les omelettes, les quiches et les autres plats à base d’œufs sont décomposés au niveau des ingrédients."
CC02,Volaille_poulet et dinde,"Comprends toutes les coupes de poulet et de dinde. Ne comprends pas tous les autres types de volaille (c.-à-d. oie, caille, faisan, canard)"
CC03,Pâtés de foie de volaille,Comprends tous les types de pâtés
Poissons et fruits de mer,,
DD01,Poisson marin,"Comprends tous les poissons marins, incluant les poissons enrobés, fumés, salés et marinés"
DD02,Poissons d’eau douce,"Comprends tous les poissons d’eau douce, incluant les poissons enrobés"
DD03,Poisson en conserve,"Comprends tous les types de poisson en conserve (thon, saumon, sardines). Ne comprends pas les mollusques et les crustacés en conserve. "
DD04,Les mollusques et crustacés,"Comprends tous les mollusques et crustacés, incluant ceux en conserve, enrobés, séchés et marinés. Les mollusques et crustacés farcis sont décomposés au niveau des ingrédients"
Soupes,,
EE01,Soupes en conserve avec viande ,"Comprends tous les types de soupes avec viande, incluant les soupes à base de crème"
EE02,Soupes en conserve à base de crème,Comprends toutes les soupes en conserve à base de crème excepté les soupes avec viande. Comprends également les soupes au fromage et les soupes condensées préparées avec du lait. 
EE03,Soupes_bouillons en conserve,Comprends tous les types de consommés et de bouillons en conserve
EE04,Soupes déshydratées,"Comprends tous les types de soupes et de bouillons déshydratés, incluant les soupes déshydratées à base de crème"
Pains et Grains,,
FF01,Pain blanc,"Comprends tous les types de pains blancs, incluant le pain aux raisins, le pain à l’ail et le pain avec fibres ajoutées"
FF02,Pain de blé entier,Comprends les pains de blé entier à 60 % et les pains de grains entiers. Ne comprends pas le pain multigrains
FF03,Pain de seigle,Comprends le pain de seigle et de seigle noir
FF04,Gâteau,Comprends tous les types de gâteaux avec ou sans glaçage. Comprends également les brownies. 
FF05,Céréales de blé à cuire,"Comprends la crème de blé ordinaire, rapide et instantanée"
FF06,Céréales de maïs,"Comprends les céréales de maïs soufflé, les carrés de maïs et les flocons de maïs"
FF07,Céréales d’avoine,"Comprends les flocons d’avoine instantanés, rapides, aromatisés et nature"
FF08,Céréales de riz et de son,"Comprends tous les types de céréales de riz et de son, tels que les flocons de son de blé avec ou sans raisins secs et les céréales de riz soufflé"
FF09,Biscuits,Comprends tous les types de biscuits et de barres
FF10,Craquelins,"Tous les types de craquelins, pains plats, biscottes et gressins"
FF11,Danoises_beignes et croissants,"Comprends les beignes, les danoises, les beignets de fruits, les strudels, les chaussons et les brioches avec ou sans glaçage et garnitures"
FF12,Farine blanche (de blé),Comprends la farine à gâteaux et boulangeable. Ne comprends pas la farine de blé entier
FF13,Muffins,"Comprends tous les types de muffins, comprends également les pains éclairs comme le pain aux bananes. "
FF14,Crêpes et gaufres,"Comprends tous les types de crêpes et de gaufres, y compris celles surgelées et préparées à partir d’un mélange. "
FF15,Pâtes_plats composés,"Comprends les plats à base de pâtes avec ou sans viande comme les pâtes farcies avec de la viande ou de la sauce tomate, la lasagne et le macaroni au fromage. Comprends les mélanges secs préparés. "
FF16,Pâtes nature,"Comprends tous les types de pâtes nature (blé entier, soja, riz, œufs, légumes)"
FF17,Tarte aux pommes,Comprends la tarte aux pommes à une ou deux croûtes ainsi que la tarte aux pommes frites
FF18,Tartes_autres,"Comprends tous les autres types de tartes comme la tarte aux fruits, la tarte au sucre et la tarte aux pacanes"
