Food Name,Sample Code,Product Description,Food Group,Product Net Quantity,Product Net Quantity Unit,Province/Territory of Origin,Country of Origin,Best Before Date,Production Date,Intended Use,Method of Production,Physico-chemical,Sample Type,Sub Sample,Sample Comments,Packaging Type,Packaging Material,Packaging Condition,More Sample Info 1,More Sample Info 2,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,MDL,% Recovery,Basis for Result,Quality Assurance,Result Comments,Lab Name,Analysis Completion Date,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
Apple Juice,TDS2021-HH01-Radionuclide,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Americium-241,Radionuclides,,,0.659,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
Apple Juice,TDS2021-HH01-Radionuclide,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Cesium-134,Radionuclides,,,0.701,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
Apple Juice,TDS2021-HH01-Radionuclide,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Cesium-137,Radionuclides,,,0.791,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
Apple Juice,TDS2021-HH01-Radionuclide,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Iodine-131,Radionuclides,,,0.596,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
Apple Juice,TDS2021-HH01-Radionuclide,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Lead-210,Radionuclides,,,6.61,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
Apple Juice,TDS2021-HH01-Radionuclide,"HH01 Apple juice, canned (Unsweetened apple juice)/Jus de pommes en conserve (jus de pommes non sucré)",Fruit juice,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,=,24.29111,Bq/Kg,Potassium-40,Radionuclides,,,10.5,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
"Apple Sauce, canned",TDS2021-HH02-Radionuclide,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Americium-241,Radionuclides,,,0.656,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
"Apple Sauce, canned",TDS2021-HH02-Radionuclide,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Cesium-134,Radionuclides,,,0.682,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
"Apple Sauce, canned",TDS2021-HH02-Radionuclide,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Cesium-137,Radionuclides,,,0.745,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
"Apple Sauce, canned",TDS2021-HH02-Radionuclide,"HH02 Applesauce, canned (Sweetened apple sauce)/Compote de pommes en conserve (compote de pommes sucrée)",Canned,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2021-11-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Iodine-131,Radionuclides,,,0.57,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,HC ERHSD RPB Radionuclides,2023-11-04,Analysis of Radioisotopes by Gamma Spectroscopy,,Gamma Spectroscopy,,BCS.TDS2021.Radionuclides,Total Diet Study 2021 Radionuclides,Radionuclides in 2021 Total Diet Study - Ottawa,Health Canada
