Food Name,Sample Code,Product Description,Food Group,Product Net Quantity,Product Net Quantity Unit,Province/Territory of Origin,Country of Origin,Best Before Date,Production Date,Intended Use,Method of Production,Physico-chemical,Sample Type,Sub Sample,Sample Comments,Packaging Type,Packaging Material,Packaging Condition,More Sample Info 1,More Sample Info 2,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,MDL,% Recovery,Basis for Result,Quality Assurance,Result Comments,Lab Name,Analysis Completion Date,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,2-perfluorodecyl ethanoic acid (FDEA),Perfluorinated chemicals (PFCs),1.186,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,2-perfluorohexyl ethanoic acid (FHEA),Perfluorinated chemicals (PFCs),0.921,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,2-perfluorooctyl ethanoic acid (FOEA),Perfluorinated chemicals (PFCs),0.638,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,2H-perfluoro-2-decenoic acid (FOUEA),Perfluorinated chemicals (PFCs),0.038,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,2H-perfluoro-2-dodecenoic acid (FDUEA),Perfluorinated chemicals (PFCs),0.068,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,2H-perfluoro-2-octenoic acid (FHUEA),Perfluorinated chemicals (PFCs),0.038,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,Perfluoro-1-butanesulfonate (L-PFBS),Perfluorinated chemicals (PFCs),0.021,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,Perfluoro-1-decanesulfonate (L-PFDS),Perfluorinated chemicals (PFCs),0.007,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,Perfluoro-1-dodecanesulfonate (L-PFDoS),Perfluorinated chemicals (PFCs),0.025,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
"Beef Ground, Medium",TDS2016-BB03-PFAS,"BB03 Beef, ground (extra lean, lean, and medium)/Bœuf haché (extramaigre, maigre et mi-maigre)",Beef,,,,Unknown,,,Ready-to-eat,,,Composite,Yes,,,,,,,2016-10-31,Surveillance,No,Grocery Store,Quebec City,Quebec,Canada,<LOD/MDL,0,ng/g,Perfluoro-1-heptanesulfonate (L-PFHpS),Perfluorinated chemicals (PFCs),0.006,,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,HC FD BCS FRD Emerging POPs,2022-11-21,Analysis of PFC's,,High Performance/Pressure Liquid Chromatograph (HPLC)-Tandem MS/MS,,BCS.TDS2016.PFC.PFAS,Total Diet Study 2016 - PFAS,,Health Canada
