Food Name,Sample Code,Product Description,Food Group,Country of Origin,Intended Use,Sample Type,Sub Sample,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Lab Name,Analysis Completion Date,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,MDL,Basis for Result,Quality Assurance,Result Comments,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,<LOD/MDL,0,ng/g,Benzene,Volatile Organic Compounds (VOCs),,,1.91,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,<LOD/MDL,0,ng/g,Bromodichloromethane,Volatile Organic Compounds (VOCs),,,5.89,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,<LOD/MDL,0,ng/g,"Butylbenzene, n-",Volatile Organic Compounds (VOCs),,,0.35,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,<LOD/MDL,0,ng/g,Chloroform,Volatile Organic Compounds (VOCs),,,1.17,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,<LOD/MDL,0,ng/g,"Dichlorobenzene, p-",Volatile Organic Compounds (VOCs),,,0.54,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,=,0.45,ng/g,Ethylbenzene,Volatile Organic Compounds (VOCs),,,0.35,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,<LOD/MDL,0,ng/g,Naphthalene,Volatile Organic Compounds (VOCs),,,6.25,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,<LOD/MDL,0,ng/g,Styrene,Volatile Organic Compounds (VOCs),,,1.79,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,=,3.25,ng/g,Toluene,Volatile Organic Compounds (VOCs),,,0.27,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
"Baby Food, Dinners, Meat Or Poultry Or Eggs",TDS2015F-LL08-VOC,"LL08 Meat, poultry or eggs (Babyfood)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Food Packaging Chemicals,2017-09-30,<LOD/MDL,0,ng/g,Trichloroethylene,Volatile Organic Compounds (VOCs),,,0.64,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of VOCs by Headspace Solid-phase Microextraction and GC-MS,,Gas chromatograph (GC)-Mass spectrometer (MS),MDL varied on sample to sample basis,BCS.TDS2015F.VOC,Total Diet Study 2015F VOCs,,Health Canada
