Nom de l'aliment,Code de l'échantillon,Description du produit,Groupe d'aliment,Quantité nette du produit,Unité de quantité nette du produit,Province/territoire d'origine,Pays d'origine,Date de péremption,Date de production,Utilisation prévue,Méthode de production,Physicochimique,Type d'échantillon,Sous-échantillon,Commentaires relatifs aux échantillons,Type d'emballage,Matériaux d'emballage,Condition d'emballage,Plus d'infos sur l'échantillon 1,Plus d'infos sur l'échantillon 2,Date de l'échantillonnage,Raison de l'échantillonnage,Code d'indication de maladie humaine,Type de Point d'échantillonnage,Nom de la ville du Point d'échantillonnage,Province du Point d'échantillonnage,Pays du Point d'échantillonnage,Opérateur des résultats quantitatifs,Valeur du résultat,Unités de mesure,Nom de l'analyte,Groupe de l'analyte,Limite de détection,Limite de quantification,Limite de détection de la méthode,Récupération (%),Base de résultat,Assurance de la qualité,Commentaires sur le résultat,Nom du laboratoire,Date de la fin de l'analyse,Nom de la méthode d'essai,Code de la méthode d'essai,Instrumentation,Commentaires sur la méthode,Code du projet,Nom du projet,Description du projet,Organisation
Abats,TDS2022-BB10-Radionuclide,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,Américium - 241,Radionucléides ,,,0.631,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
Abats,TDS2022-BB10-Radionuclide,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,Césium - 134,Radionucléides ,,,0.666,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
Abats,TDS2022-BB10-Radionuclide,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,Césium - 137,Radionucléides ,,,0.755,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
Abats,TDS2022-BB10-Radionuclide,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,FR Lead-210,Radionucléides ,,,6.61,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
Abats,TDS2022-BB10-Radionuclide,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,=,64.67251,Bq/Kg,Potassium - 40,Radionucléides ,,,13.7,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
Abats,TDS2022-BB10-Radionuclide,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,iode - 131,Radionucléides ,,,0.545,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Agneau, côtelettes",TDS2022-BB07-Radionuclide,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,Américium - 241,Radionucléides ,,,0.749,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Agneau, côtelettes",TDS2022-BB07-Radionuclide,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,Césium - 134,Radionucléides ,,,0.783,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Agneau, côtelettes",TDS2022-BB07-Radionuclide,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,Césium - 137,Radionucléides ,,,0.949,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Agneau, côtelettes",TDS2022-BB07-Radionuclide,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,FR Lead-210,Radionucléides ,,,7.33,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Agneau, côtelettes",TDS2022-BB07-Radionuclide,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,=,84.08748,Bq/Kg,Potassium - 40,Radionucléides ,,,13.9,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Agneau, côtelettes",TDS2022-BB07-Radionuclide,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,iode - 131,Radionucléides ,,,0.673,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2022-LL03-Radionuclide,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Aliments pour bébés,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,Américium - 241,Radionucléides ,,,0.594,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2022-LL03-Radionuclide,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Aliments pour bébés,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,Césium - 134,Radionucléides ,,,0.658,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2022-LL03-Radionuclide,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Aliments pour bébés,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,Césium - 137,Radionucléides ,,,0.754,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2022-LL03-Radionuclide,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Aliments pour bébés,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,<LOD/MDL,0,Bq/Kg,FR Lead-210,Radionucléides ,,,6.26,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2022-LL03-Radionuclide,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Aliments pour bébés,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,11/1/22,Surveillance,Non,Épicerie,Winnipeg,Manitoba,Canada,=,32.94454,Bq/Kg,Potassium - 40,Radionucléides ,,,11.1,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,11/4/23,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2022.Radionuclides,Étude Canadienne sur l'alimentation totale 2022 radionucléides,Étude sur l'alimentation totale 2022 -  radionucléides - Winnipeg,Santé Canada
