Nom de l'aliment,Code de l'échantillon,Description du produit,Groupe d'aliment,Pays d'origine,Type d'échantillon,Sous-échantillon,Date de l'échantillonnage,Raison de l'échantillonnage,Code d'indication de maladie humaine,Type de Point d'échantillonnage,Nom de la ville du Point d'échantillonnage,Province du Point d'échantillonnage,Pays du Point d'échantillonnage,Nom du laboratoire,Date de la fin de l'analyse,Opérateur des résultats quantitatifs,Valeur du résultat,Unités de mesure,Nom de l'analyte,Groupe de l'analyte,Limite de détection,Limite de quantification,Limite de détection de la méthode,Récupération (%),Base de résultat,Assurance de la qualité,Commentaires sur le résultat,Nom de la méthode d'essai,Code de la méthode d'essai,Instrumentation,Commentaires sur la méthode,Code du projet,Nom du projet,Description du projet,Organisation
Abats,TDS2009-BB10-BPA,,"Viande fraîche, volaille et gibier, hachée",Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,105.877,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
Abats,TDS2010-BB10-BPA,,"Viande fraîche, volaille et gibier, hachée",Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,105.877,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
Abats,TDS2011-BB10-BPA,,"Viande fraîche, volaille et gibier, hachée",Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,=,1.4,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,95.499,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
Abats,TDS2012-BB10-BPA,,"Viande fraîche, volaille et gibier, hachée",Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,95.499,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
Abats,TDS2016-BB10-BPA,BB10 Organ meats (beef or veal liver)/Abats (foie de boeuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,53.03815424,98.184,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Agneau, côtelettes",TDS2009-BB07-BPA,,Agneau ,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,98.184,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Agneau, côtelettes",TDS2010-BB07-BPA,,Agneau ,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,114.322,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Agneau, côtelettes",TDS2011-BB07-BPA,,Agneau ,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,114.322,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Agneau, côtelettes",TDS2012-BB07-BPA,,Agneau ,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,97.92,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Agneau, côtelettes",TDS2016-BB07-BPA,BB07 Lamb (lamb chops)/Agneau (côtelettes d'agneau),Agneau ,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,1.028189093,97.92,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
